samplenr	I	II	V1	V2	V3	V4	V5	V6
228	-19737.5	-19532.5	0	0	0	0	0	0
229	-19760	-19555	0	0	0	0	0	0
230	-19785	-19582.5	0	0	0	0	0	0
231	-19790	-19590	0	0	0	0	0	0
232	-19795	-19592.5	0	0	0	0	0	0
233	-19800	-19600	0	0	0	0	0	0
234	-19810	-19600	0	0	0	0	0	0
235	-19810	-19597.5	0	0	0	0	0	0
236	-19820	-19610	0	0	0	0	0	0
237	-19817.5	-19610	0	0	0	0	0	0
238	-19787.5	-19590	0	0	0	0	0	0
239	-19785	-19587.5	0	0	0	0	0	0
240	-19775	-19570	0	0	0	0	0	0
241	-19762.5	-19567.5	0	0	0	0	0	0
242	-19767.5	-19575	0	0	0	0	0	0
243	-19762.5	-19567.5	0	0	0	0	0	0
244	-19770	-19580	0	0	0	0	0	0
245	-19767.5	-19575	0	0	0	0	0	0
246	-19745	-19550	0	0	0	0	0	0
247	-19732.5	-19530	0	0	0	0	0	0
248	-19727.5	-19517.5	0	0	0	0	0	0
249	-19702.5	-19500	0	0	0	0	0	0
250	-19685	-19480	0	0	0	0	0	0
251	-19687.5	-19470	0	0	0	0	0	0
252	-19672.5	-19455	0	0	0	0	0	0
253	-19652.5	-19430	0	0	0	0	0	0
254	-19635	-19412.5	0	0	0	0	0	0
255	-19622.5	-19407.5	0	0	0	0	0	0
256	-19615	-19402.5	0	0	0	0	0	0
257	-19607.5	-19402.5	0	0	0	0	0	0
258	-19592.5	-19390	0	0	0	0	0	0
259	-19592.5	-19385	0	0	0	0	0	0
260	-19590	-19385	0	0	0	0	0	0
261	-19572.5	-19372.5	0	0	0	0	0	0
262	-19565	-19365	0	0	0	0	0	0
263	-19570	-19372.5	0	0	0	0	0	0
264	-19562.5	-19357.5	0	0	0	0	0	0
265	-19545	-19342.5	0	0	0	0	0	0
266	-19540	-19337.5	0	0	0	0	0	0
267	-19520	-19322.5	0	0	0	0	0	0
268	-19505	-19310	0	0	0	0	0	0
269	-19505	-19302.5	0	0	0	0	0	0
270	-19482.5	-19277.5	0	0	0	0	0	0
271	-19460	-19255	0	0	0	0	0	0
272	-19450	-19240	0	0	0	0	0	0
273	-19407.5	-19202.5	0	0	0	0	0	0
274	-19375	-19172.5	0	0	0	0	0	0
275	-19355	-19147.5	0	0	0	0	0	0
276	-19317.5	-19110	0	0	0	0	0	0
277	-19312.5	-19092.5	0	0	0	0	0	0
278	-19295	-19070	0	0	0	0	0	0
279	-19267.5	-19042.5	0	0	0	0	0	0
280	-19245	-19017.5	0	0	0	0	0	0
281	-19215	-18985	0	0	0	0	0	0
282	-19185	-18950	0	0	0	0	0	0
283	-19157.5	-18917.5	0	0	0	0	0	0
284	-19140	-18895	0	0	0	0	0	0
285	-19107.5	-18867.5	0	0	0	0	0	0
286	-19067.5	-18827.5	0	0	0	0	0	0
287	-19032.5	-18792.5	0	0	0	0	0	0
288	-18982.5	-18745	0	0	0	0	0	0
289	-18937.5	-18705	0	0	0	0	0	0
290	-18907.5	-18675	0	0	0	0	0	0
291	-18875	-18645	0	0	0	0	0	0
292	-18837.5	-18615	0	0	0	0	0	0
293	-18810	-18587.5	0	0	0	0	0	0
294	-18775	-18560	0	0	0	0	0	0
295	-18727.5	-18520	0	0	0	0	0	0
296	-18700	-18495	0	0	0	0	0	0
297	-18660	-18467.5	0	0	0	0	0	0
298	-18612.5	-18427.5	0	0	0	0	0	0
299	-18582.5	-18405	0	0	0	0	0	0
300	-18530	-18362.5	0	0	0	0	0	0
301	-18472.5	-18317.5	0	0	0	0	0	0
302	-18430	-18282.5	0	0	0	0	0	0
303	-18372.5	-18232.5	0	0	0	0	0	0
304	-18327.5	-18195	0	0	0	0	0	0
305	-18305	-18170	0	0	0	0	0	0
306	-18270	-18140	0	0	0	0	0	0
307	-18250	-18120	0	0	0	0	0	0
308	-18230	-18102.5	0	0	0	0	0	0
309	-18192.5	-18077.5	0	0	0	0	0	0
310	-18172.5	-18060	0	0	0	0	0	0
311	-18162.5	-18042.5	0	0	0	0	0	0
312	-18152.5	-18030	0	0	0	0	0	0
313	-18147.5	-18020	0	0	0	0	0	0
314	-18135	-18005	0	0	0	0	0	0
315	-18115	-17985	0	0	0	0	0	0
316	-18082.5	-17945	0	0	0	0	0	0
317	-18050	-17910	0	0	0	0	0	0
318	-18025	-17875	0	0	0	0	0	0
319	-18002.5	-17835	0	0	0	0	0	0
320	-17990	-17812.5	0	0	0	0	0	0
321	-17970	-17787.5	0	0	0	0	0	0
322	-17952.5	-17765	0	0	0	0	0	0
323	-17940	-17752.5	0	0	0	0	0	0
324	-17925	-17735	0	0	0	0	0	0
325	-17920	-17722.5	0	0	0	0	0	0
326	-17907.5	-17715	0	0	0	0	0	0
327	-17890	-17702.5	0	0	0	0	0	0
328	-17862.5	-17685	0	0	0	0	0	0
329	-17840	-17670	0	0	0	0	0	0
330	-17820	-17652.5	0	0	0	0	0	0
331	-17790	-17635	0	0	0	0	0	0
332	-17772.5	-17615	0	0	0	0	0	0
333	-17742.5	-17582.5	0	0	0	0	0	0
334	-17712.5	-17552.5	0	0	0	0	0	0
335	-17670	-17505	0	0	0	0	0	0
336	-17612.5	-17442.5	0	0	0	0	0	0
337	-17555	-17382.5	0	0	0	0	0	0
338	-17495	-17320	0	0	0	0	0	0
339	-17427.5	-17255	0	0	0	0	0	0
340	-17335	-17167.5	0	0	0	0	0	0
341	-17262.5	-17097.5	0	0	0	0	0	0
342	-17180	-17020	0	0	0	0	0	0
343	-17087.5	-16932.5	0	0	0	0	0	0
344	-17017.5	-16865	0	0	0	0	0	0
345	-16945	-16802.5	0	0	0	0	0	0
346	-16900	-16760	0	0	0	0	0	0
347	-16862.5	-16720	0	0	0	0	0	0
348	-16822.5	-16677.5	0	0	0	0	0	0
349	-16807.5	-16655	0	0	0	0	0	0
350	-16790	-16632.5	0	0	0	0	0	0
351	-16765	-16602.5	0	0	0	0	0	0
352	-16760	-16590	0	0	0	0	0	0
353	-16740	-16575	0	0	0	0	0	0
354	-16722.5	-16567.5	0	0	0	0	0	0
355	-16715	-16557.5	0	0	0	0	0	0
356	-16692.5	-16542.5	0	0	0	0	0	0
357	-16692.5	-16545	0	0	0	0	0	0
358	-16685	-16540	0	0	0	0	0	0
359	-16670	-16527.5	0	0	0	0	0	0
360	-16675	-16527.5	0	0	0	0	0	0
361	-16665	-16520	0	0	0	0	0	0
362	-16650	-16505	0	0	0	0	0	0
363	-16650	-16497.5	0	0	0	0	0	0
364	-16645	-16482.5	0	0	0	0	0	0
365	-16645	-16477.5	0	0	0	0	0	0
366	-16642.5	-16475	0	0	0	0	0	0
367	-16635	-16472.5	0	0	0	0	0	0
368	-16632.5	-16472.5	0	0	0	0	0	0
369	-16630	-16482.5	0	0	0	0	0	0
370	-16625	-16487.5	0	0	0	0	0	0
371	-16615	-16477.5	0	0	0	0	0	0
